L,pproj,pctrl_index,pctrl_value,tmi_mean,tmi_sem
8,pproj0.000,0,0.403,-1.2692471107727434,0.02257076784406445
8,pproj0.000,1,0.4082631578947369,-1.2227369918509567,0.022920569262647694
8,pproj0.000,2,0.4135263157894737,-1.1939744962858094,0.023010452400399627
8,pproj0.000,3,0.41878947368421054,-1.1473119115352057,0.022937708836658424
8,pproj0.000,4,0.4240526315789474,-1.1423699878996667,0.023501515926015404
8,pproj0.000,5,0.4293157894736842,-1.0828409978175777,0.022909097916862495
8,pproj0.000,6,0.43457894736842106,-1.040285848302624,0.023054180330903076
8,pproj0.000,7,0.4398421052631579,-0.9914143265225185,0.022517837201199993
8,pproj0.000,8,0.4451052631578948,-0.944631856932536,0.023111788425220277
8,pproj0.000,9,0.4503684210526316,-0.9255106904517932,0.022420412730782668
8,pproj0.000,10,0.45563157894736844,-0.857016546699871,0.022522374274590314
8,pproj0.000,11,0.46089473684210525,-0.8639516389298261,0.022847672937661594
8,pproj0.000,12,0.4661578947368421,-0.8292528509486553,0.023017184521842805
8,pproj0.000,13,0.47142105263157896,-0.763204235837667,0.022637831421441042
8,pproj0.000,14,0.4766842105263158,-0.7683578234724103,0.02243931078849711
8,pproj0.000,15,0.4819473684210526,-0.6645448291455145,0.02195516964598125
8,pproj0.000,16,0.4872105263157895,-0.669147069426582,0.022078777806525902
8,pproj0.000,17,0.49247368421052634,-0.6286239813441937,0.02163855125026307
8,pproj0.000,18,0.49773684210526314,-0.5857690390283924,0.02137782065292095
8,pproj0.000,19,0.503,-0.5461987585247452,0.02068736509455917
12,pproj0.000,0,0.403,-1.6623357986814224,0.029323507806543705
12,pproj0.000,1,0.4082631578947369,-1.527976505437548,0.029605699300319484
12,pproj0.000,2,0.4135263157894737,-1.4721881516603565,0.029617114439413943
12,pproj0.000,3,0.41878947368421054,-1.461503299638865,0.029539794292553885
12,pproj0.000,4,0.4240526315789474,-1.4163308107561656,0.029496172872977827
12,pproj0.000,5,0.4293157894736842,-1.3347418779636304,0.02951020991570195
12,pproj0.000,6,0.43457894736842106,-1.2440724435745163,0.029363243732958212
12,pproj0.000,7,0.4398421052631579,-1.1655704761836194,0.029286587417316
12,pproj0.000,8,0.4451052631578948,-1.1877091094394219,0.029221783246809407
12,pproj0.000,9,0.4503684210526316,-1.088870967212958,0.029680274939755842
12,pproj0.000,10,0.45563157894736844,-0.935078596541954,0.02773319082065805
12,pproj0.000,11,0.46089473684210525,-0.934786484690343,0.028165721890897638
12,pproj0.000,12,0.4661578947368421,-0.8946810700283911,0.028513773736401387
12,pproj0.000,13,0.47142105263157896,-0.820019268338476,0.028278919494655892
12,pproj0.000,14,0.4766842105263158,-0.7184692045895559,0.027132407782674013
12,pproj0.000,15,0.4819473684210526,-0.62601291716229,0.026789127005400485
12,pproj0.000,16,0.4872105263157895,-0.6138549834526409,0.02623687858719203
12,pproj0.000,17,0.49247368421052634,-0.5320843028136563,0.02530053090159573
12,pproj0.000,18,0.49773684210526314,-0.47705747850861846,0.0242456378785751
12,pproj0.000,19,0.503,-0.4223102280865979,0.024426913173016
16,pproj0.000,0,0.403,-2.1365531497506383,0.036909855826820326
16,pproj0.000,1,0.4082631578947369,-2.106153862197588,0.0366178265487165
16,pproj0.000,2,0.4135263157894737,-2.0046047101046276,0.03697536812415996
16,pproj0.000,3,0.41878947368421054,-1.9230306530796415,0.03711090441654272
16,pproj0.000,4,0.4240526315789474,-1.7921480446698055,0.03737957758892922
16,pproj0.000,5,0.4293157894736842,-1.700092789963248,0.03696906446506969
16,pproj0.000,6,0.43457894736842106,-1.69833390389935,0.037572957738198756
16,pproj0.000,7,0.4398421052631579,-1.5238185490548344,0.036580240613086665
16,pproj0.000,8,0.4451052631578948,-1.397313959427043,0.0362365034441961
16,pproj0.000,9,0.4503684210526316,-1.2743802694383288,0.036082542621162665
16,pproj0.000,10,0.45563157894736844,-1.2178706164840942,0.035812653228181356
16,pproj0.000,11,0.46089473684210525,-1.1221434221621396,0.03526619505580042
