L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
8,pproj0.607,2,-0.042028247634097515,0.004955515463823273
8,pproj0.607,3,-0.05248958648005183,0.00521838189691879
8,pproj0.607,4,-0.07730616812457647,0.00724982317603959
8,pproj0.607,5,-0.07621683856143581,0.007107752532172464
8,pproj0.607,6,-0.09385321103874725,0.007833195186466548
8,pproj0.607,7,-0.115385851717643,0.008617415623895664
8,pproj0.607,8,-0.11054393757808695,0.008465648650505787
8,pproj0.607,9,-0.13215758494258104,0.00919259355943745
8,pproj0.607,10,-0.14222612583010985,0.009455241978767326
8,pproj0.607,11,-0.12398021143741454,0.009518595813974315
8,pproj0.607,12,-0.1212211337372337,0.009670205302115235
8,pproj0.607,13,-0.11356428336218699,0.009642686437953765
8,pproj0.607,14,-0.08569190379605504,0.008817545336317354
8,pproj0.607,15,-0.04601424710036191,0.008427013362084422
8,pproj0.607,16,-0.026236846350040345,0.0072519373644421205
8,pproj0.607,17,-0.011369702097652933,0.006634002290465257
8,pproj0.607,18,0.00353363466485012,0.005969549647317461
8,pproj0.607,19,0.015916650882972432,0.0045610941693956155
8,pproj0.607,20,0.008225624601092146,0.0036077362135766657
8,pproj0.643,0,-0.0045054566736396585,0.001425760195580233
8,pproj0.643,1,-0.01918281726955702,0.003638324760419786
8,pproj0.643,2,-0.01959327782695994,0.003655980968992234
8,pproj0.643,3,-0.020614558159817456,0.004135142101731116
8,pproj0.643,4,-0.049361483410778575,0.005871270016321846
8,pproj0.643,5,-0.04816065851633501,0.005804540823660229
8,pproj0.643,6,-0.06427357895305244,0.0066790372799904124
8,pproj0.643,7,-0.0774225397650726,0.0074050040505678535
8,pproj0.643,8,-0.0962786747335158,0.008128940528535395
8,pproj0.643,9,-0.09897888607634041,0.008230646416618881
8,pproj0.643,10,-0.08041203912275742,0.0075486617720222785
8,pproj0.643,11,-0.08954834632983806,0.008487064077923824
8,pproj0.643,12,-0.07271870208420847,0.008489186021252022
8,pproj0.643,13,-0.07337270839372119,0.008235149488325058
8,pproj0.643,14,-0.053823709957050186,0.008414124430202457
8,pproj0.643,15,-0.03510348281651715,0.007828239437766874
8,pproj0.643,16,-0.014808797893773786,0.007270047201798752
8,pproj0.643,17,-0.0037706661682386155,0.00607797160898042
8,pproj0.643,18,0.019404718107403688,0.004915611986694161
8,pproj0.643,19,0.012766462304339022,0.0043592513347093095
8,pproj0.643,20,0.011809174067443294,0.0031893911524238823
8,pproj0.679,0,-0.0017328679513998724,0.0007741863690328418
8,pproj0.679,1,-0.0051141348216093546,0.0017781737844644123
8,pproj0.679,2,-0.005678311472233088,0.0029596876253724157
8,pproj0.679,3,-0.019445387598784974,0.004396793674247702
8,pproj0.679,4,-0.021602407099950524,0.004547325605122233
8,pproj0.679,5,-0.03318169512038872,0.005246429465429184
8,pproj0.679,6,-0.041686001967190606,0.005859975125091399
8,pproj0.679,7,-0.05192933942038584,0.006458921957022938
8,pproj0.679,8,-0.0444736774567466,0.006465823800852906
8,pproj0.679,9,-0.0680877705944423,0.007230417599787363
8,pproj0.679,10,-0.06610660056667887,0.007523318246279654
8,pproj0.679,11,-0.0674332810625211,0.007994380160983357
8,pproj0.679,12,-0.04439276760098288,0.007386522102618217
8,pproj0.679,13,-0.04234683354669666,0.007387091130005402
8,pproj0.679,14,-0.022805626589663085,0.007281454009856454
8,pproj0.679,15,-0.007949256310464352,0.006697217550098367
8,pproj0.679,16,-0.0006450726262852496,0.006125556618194432
